Acc	Subgenus	Genus	Country	Continent	Brazilian State	Biome	Host	Name	Collection_Date
MZ467399	Minunacovirus	Alphacoronavirus	South Korea	Asia		Other	Chiroptera	Bat coronavirus 18BF147	
NC_001846	Embecovirus	Betacoronavirus				Other	Mus musculus	Murine hepatitis virus MHVA59	
NC_002306	Tegacovirus	Alphacoronavirus	USA	North America		Other	Felis catus	Feline infectious peritonitis virus	
NC_002645	Duvinacovirus	Alphacoronavirus				Other	Homo sapiens	Human coronavirus 229E	
NC_003045	Embecovirus	Betacoronavirus				Other	Bos taurus	Bovine coronavirus BCoV ENT	
NC_003436	Pedacovirus	Alphacoronavirus				Other	Sus scrofa	Porcine epidemic diarrhea virus	
NC_004718	Sarbecovirus	Betacoronavirus	Canada			Other	Homo sapiens	SARS coronavirus Tor2	
NC_005831	Setracovirus	Alphacoronavirus				Other	Homo sapiens	Human Coronavirus NL63	
NC_006213	Embecovirus	Betacoronavirus	USA	North America		Other	Homo sapiens	Human coronavirus OC43 ATCC VR759	
NC_006577	Embecovirus	Betacoronavirus				Other	Homo sapiens	Human coronavirus HKU1	
NC_009019	Merbecovirus	Betacoronavirus	China	Asia		Other	Chiroptera	Tylonycteris bat coronavirus HKU4	
NC_009020	Merbecovirus	Betacoronavirus	China	Asia		Other	Chiroptera	Pipistrellus bat coronavirus HKU5	
NC_009021	Nobecovirus	Betacoronavirus	China	Asia		Other	Chiroptera	Rousettus bat coronavirus HKU9	
NC_009657	Pedacovirus	Alphacoronavirus				Other	Scotophilus	Scotophilus bat coronavirus 512	
NC_009988	Rhinacovirus	Alphacoronavirus				Other	Rhinolophus	Rhinolophus bat coronavirus HKU2	
NC_010437	Minunacovirus	Alphacoronavirus	Hong Kong	Asia		Other	Miniopterus	Bat coronavirus 1A	
NC_010438	Minunacovirus	Alphacoronavirus	Hong Kong	Asia		Other	Miniopterus	Miniopterus bat coronavirus HKU8	
NC_012936	Embecovirus	Betacoronavirus				Other	Rattus	Rat coronavirus Parker	
NC_014470	Sarbecovirus	Betacoronavirus	Bulgaria			Other	Rhinolophus blasii	Bat coronavirus BM48 31 BGR	2008
NC_017083	Embecovirus	Betacoronavirus	China	Asia		Other	Oryctolagus cuniculus	Rabbit coronavirus HKU14	2006
NC_018871	Decacovirus	Alphacoronavirus	China	Asia		Other	Chiroptera	Rousettus bat coronavirus HKU10	2005-10
NC_019843	Merbecovirus	Betacoronavirus				Other	Homo sapiens	MERSr CoV EMC	13/06/2012
NC_022103	Colacovirus	Alphacoronavirus	USA	North America		Other	Myotis lucifugus	Bat coronavirus CDPHE15	07/08/2006
NC_023760	Mincovirus	Alphacoronavirus	USA	North America		Other	Neogale vison	Mink coronavirus WD1127	01/01/1998
NC_025217	Hibecovirus	Betacoronavirus	China	Asia		Other	Hipposideros pratti	Bat Hp betacoronavirus Zhejiang	29/04/2013
NC_026011	Embecovirus	Betacoronavirus	China	Asia		Other	Rattus norvegicus	Betacoronavirus HKU24	17/05/2012
NC_028752	Duvinacovirus	Alphacoronavirus	Saudi Arabia	Asia		Other	Camelus	Camel alphacoronavirus Ry141	2015-03
NC_028806	Tegacovirus	Alphacoronavirus	Italy	Europe		Other	Sus scrofa	Swine enteric coronavirus 213306	04/09/2009
NC_028811	Myotacovirus	Alphacoronavirus	China	Asia		Other	Myotis ricketti	BtMr AlphaCoV SAX2011	2011
NC_028814	Decacovirus	Alphacoronavirus	China	Asia		Other	Rhinolophus ferrumequinum	BtRf AlphaCoV HuB2013	2013
