Acc	Subgenus	Genus	Country	Continent	Brazilian State	Biome	Host	Name	Collection_Date
OQ175546	Minunacovirus	Alphacoronavirus	China	Asia		Other	Myotis ricketti	Bat Coronavirus MrGD17 BtMr AlphaCoV GD2017 P196	07/06/2017
OQ297715	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus schreibersii	Miniopterus bat coronavirus HKU8 GDL175	2022-08
OR250034	Unclassified	Alphacoronavirus	Colombia	South America		Tropical RainForest	Artibeus jamaicensis	Bat alphacoronavirus isolate batCov COL2022	25/01/2022
OR596326	Unclassified	Alphacoronavirus	Brazil	South America	Rio de Janeiro	Atlantic RainForest	Artibeus lituratus	Alphacoronavirus BatCoV RJ FIOCRUZ A210104	15/03/2021
OR596328	Unclassified	Alphacoronavirus	Brazil	South America	Rio de Janeiro	Atlantic RainForest	Artibeus lituratus	Alphacoronavirus BatCoV RJ FIOCRUZ A21132	15/03/2021
OR805809	Unclassified	Alphacoronavirus	Brazil	South America	Ceara	Caatinga	Carollia perspicillata	Bat alphacoronavirus BatCoV CE FIOCRUZ A220424	16/03/2022
OR805810	Unclassified	Alphacoronavirus	Brazil	South America	Ceara	Caatinga	Carollia perspicillata	Bat alphacoronavirus BatCoV CE FIOCRUZ A220428	17/03/2022
OR805813	Unclassified	Alphacoronavirus	Brazil	South America	Ceara	Caatinga	Platyrrhinus lineatus	Bat alphacoronavirus BatCoV CE FIOCRUZ A220364	15/03/2022
OR805817	Unclassified	Alphacoronavirus	Brazil	South America	Ceara	Caatinga	Platyrrhinus recifinus	Bat alphacoronavirus BatCoV CE FIOCRUZ A220474	13/03/2022
OR805818	Unclassified	Alphacoronavirus	Brazil	South America	Ceara	Caatinga	Glossophaga soricina	Bat alphacoronavirus BatCoV CE FIOCRUZ A220478	13/03/2022
OR805819	Unclassified	Alphacoronavirus	Brazil	South America	Ceara	Caatinga	Glossophaga soricina	Bat alphacoronavirus BatCoV CE FIOCRUZ A220507	19/03/2022
OR805820	Unclassified	Alphacoronavirus	Brazil	South America	Ceara	Caatinga	Carollia perspicillata	Bat alphacoronavirus BatCoV CE FIOCRUZ A220509	19/03/2022
PP819532	Unclassified	Alphacoronavirus	Portugal	Europe		Other	Sus scrofa	Bat coronavirus isolate B23_165	2023
PP819533	Unclassified	Alphacoronavirus	Portugal	Europe		Other	Sus scrofa	Bat coronavirus isolate B23_167	2023
PP819536	Unclassified	Alphacoronavirus	Portugal	Europe		Other	Sus scrofa	Bat coronavirus isolate B23_163	2023
PP869946	Unclassified	Alphacoronavirus	Mexico	North America		Tropical RainForest	Artibeus jamaicensis	Bat alphacoronavirus COM194C	13/06/2022
PP869950	Unclassified	Alphacoronavirus	Mexico	North America		Tropical RainForest	Sturnira parvidens	Bat alphacoronavirus LM28C	13/10/2021
PP869952	Unclassified	Alphacoronavirus	Mexico	North America		Tropical RainForest	Artibeus jamaicensis	Bat alphacoronavirus LM29C	13/10/2021
